id,key,n_top,a_method,a_node,a_cut,a_loess_from,b_method,b_node,b_cut,b_loess_from,kept,changed,changed%,Jaccard,Spearman,Kendall,RBO
59cd0568,F-NR,2000,f_stat,CD8 TEM,children,,f_stat,root,leaves,,816,1184,59.2,0.2562814070351759,0.5926379001772849,0.4305022006702199,0.1894448795122757
3b1628cc,KW-NR,2000,kw,CD8 TEM,children,,kw,root,leaves,,813,1187,59.35,0.2550988390335739,0.5878309313495631,0.4262366170452567,0.1549076581581361
b54a00b4,VST(v)-NR,2000,vst,CD8 TEM,,,vst,root,,,780,1220,61.0,0.2422360248447205,0.3734755801442643,0.2719151853361958,0.173468568506644
878a6290,VST(v_0)-NR,2000,vst,CD8 TEM,,root,vst,root,,,738,1262,63.1,0.226241569589209,0.3256642515581325,0.2396504481267267,0.1740759844190191
b227822f,F-NR,2000,f_stat,Plasmablast,children,,f_stat,root,leaves,,369,1631,81.55,0.1016248967226659,0.4621644424046583,0.3283442763756379,0.0012852499487334
b4be0fc7,KW-NR,2000,kw,Plasmablast,children,,kw,root,leaves,,326,1674,83.7,0.0887316276537833,0.4645448540076622,0.3300166142854845,0.0001311932935746
3381cdff,VST(v)-NR,2000,vst,Plasmablast,,,vst,root,,,633,1367,68.35,0.188001188001188,0.0444627403047944,0.0323002530676857,0.2309917537697489
6e904fb1,VST(v_0)-NR,2000,vst,Plasmablast,,root,vst,root,,,663,1337,66.85,0.1986814504045549,0.0431856172789608,0.0317988176358005,0.3848863556343453
aeaab4e7,F-NR,2000,f_stat,Treg,children,,f_stat,root,leaves,,653,1347,67.35,0.1951000896325067,0.4723453466857751,0.3360000891259727,0.0697224237955149
16d0305d,KW-NR,2000,kw,Treg,children,,kw,root,leaves,,630,1370,68.5,0.1869436201780415,0.4641212978675477,0.3297857318340083,0.067697867801494
20530808,VST(v)-NR,2000,vst,Treg,,,vst,root,,,579,1421,71.05,0.1692487576731949,0.1474458585681825,0.1073822333145222,0.1710304830698152
84e777b3,VST(v_0)-NR,2000,vst,Treg,,root,vst,root,,,544,1456,72.8,0.1574074074074074,0.101215514924871,0.0754811115858933,0.1858583200489656
440bcba8,F-NR,2000,f_stat,cDC2,children,,f_stat,root,leaves,,925,1075,53.75,0.3008130081300813,0.4931651817445348,0.3501747750179159,0.2163432884628244
9d87cb90,KW-NR,2000,kw,cDC2,children,,kw,root,leaves,,954,1046,52.3,0.3131976362442548,0.49478478714112,0.3515447891762066,0.2393239832370187
61864028,VST(v)-NR,2000,vst,cDC2,,,vst,root,,,802,1198,59.9,0.2507817385866166,0.2600186320345256,0.1894462466831091,0.1807463969737829
ab89158f,VST(v_0)-NR,2000,vst,cDC2,,root,vst,root,,,753,1247,62.35000000000001,0.2319063751154912,0.2231317227338902,0.1658589728633005,0.1909574505595009
501ccd8a,F-NR,2000,f_stat,dnT,children,,f_stat,root,leaves,,526,1474,73.7,0.1514104778353483,0.5196565159704162,0.379107260913949,0.0645251989687143
cb382af4,KW-NR,2000,kw,dnT,children,,kw,root,leaves,,489,1511,75.55,0.1392765593847906,0.5253626540569148,0.3841759969181897,0.0557033549874918
bc9fb813,VST(v)-NR,2000,vst,dnT,,,vst,root,,,496,1504,75.2,0.1415525114155251,0.0176048365020098,0.0128733698424604,0.0243254556692245
ec6ce306,VST(v_0)-NR,2000,vst,dnT,,root,vst,root,,,482,1518,75.9,0.1370096645821489,-0.0044494035550304,-0.002206568507,0.0255987679787009
5f8c382e,F-NR,2000,f_stat,gdT,children,,f_stat,root,leaves,,770,1230,61.5,0.2383900928792569,0.5608502955864887,0.406792095643368,0.1861208473205916
9cb8e67d,KW-NR,2000,kw,gdT,children,,kw,root,leaves,,774,1226,61.3,0.2399256044637321,0.5555293627690128,0.4025832628093949,0.1535960060652623
d4b58fe6,VST(v)-NR,2000,vst,gdT,,,vst,root,,,719,1281,64.05,0.2191405059433099,0.2663180092144963,0.1937490457976159,0.1357667248387247
